BUSES REPORT
============================================================================================================================= 
   BUS    V (pu)     O (º)     P (MW)     Q (MVAr)      PG (MW)    QG (MVAr)    PD (MW)   QD (MVAr)     Psh (MW)   Qsh (MVAr) 
----------------------------------------------------------------------------------------------------------------------------- 
    1    1.0000     -9.97      -97.60        0.00        0.00        0.00       97.60        0.00        0.00        0.00
    2    1.0000     -6.64        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
    3    1.0000    -10.97     -322.00        0.00        0.00        0.00      322.00        0.00        0.00        0.00
    4    1.0000    -11.64     -500.00        0.00        0.00        0.00      500.00        0.00        0.00        0.00
    5    1.0000     -9.92        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
    6    1.0000     -9.12        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
    7    1.0000    -11.35     -233.80        0.00        0.00        0.00      233.80        0.00        0.00        0.00
    8    1.0000    -11.85     -522.00        0.00        0.00        0.00      522.00        0.00        0.00        0.00
    9    1.0000    -11.16       -6.50        0.00        0.00        0.00        6.50        0.00        0.00        0.00
   10    1.0000     -6.81        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   11    1.0000     -7.62        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   12    1.0000     -7.81       -8.53        0.00        0.00        0.00        8.53        0.00        0.00        0.00
   13    1.0000     -7.79        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   14    1.0000    -10.08        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   15    1.0000    -12.38     -320.00        0.00        0.00        0.00      320.00        0.00        0.00        0.00
   16    1.0000    -11.66     -329.00        0.00        0.00        0.00      329.00        0.00        0.00        0.00
   17    1.0000    -11.74        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   18    1.0000    -11.91     -158.00        0.00        0.00        0.00      158.00        0.00        0.00        0.00
   19    1.0000    -11.16        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   20    1.0000    -12.52     -680.00        0.00        0.00        0.00      680.00        0.00        0.00        0.00
   21    1.0000     -8.80     -274.00        0.00        0.00        0.00      274.00        0.00        0.00        0.00
   22    1.0000     -3.64        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   23    1.0000     -3.88     -247.50        0.00        0.00        0.00      247.50        0.00        0.00        0.00
   24    1.0000    -11.43     -308.60        0.00        0.00        0.00      308.60        0.00        0.00        0.00
   25    1.0000     -7.92     -224.00        0.00        0.00        0.00      224.00        0.00        0.00        0.00
   26    1.0000     -9.06     -139.00        0.00        0.00        0.00      139.00        0.00        0.00        0.00
   27    1.0000    -11.57     -281.00        0.00        0.00        0.00      281.00        0.00        0.00        0.00
   28    1.0000     -4.64     -206.00        0.00        0.00        0.00      206.00        0.00        0.00        0.00
   29    1.0000     -1.45     -283.50        0.00        0.00        0.00      283.50        0.00        0.00        0.00
   30    1.0000      2.69      900.00        0.00      900.00        0.00        0.00        0.00        0.00        0.00
   31    1.0000      0.00      636.80        0.00      646.00        0.00        9.20        0.00        0.00        0.00
   32    1.0000      1.50      725.00        0.00      725.00        0.00        0.00        0.00        0.00        0.00
   33    1.0000     -9.40      216.30        0.00      216.30        0.00        0.00        0.00        0.00        0.00
   34    1.0000     -7.28      508.00        0.00      508.00        0.00        0.00        0.00        0.00        0.00
   35    1.0000      1.99      687.00        0.00      687.00        0.00        0.00        0.00        0.00        0.00
   36    1.0000      5.16      580.00        0.00      580.00        0.00        0.00        0.00        0.00        0.00
   37    1.0000     -7.56       26.93        0.00       26.93        0.00        0.00        0.00        0.00        0.00
   38    1.0000      6.28      865.00        0.00      865.00        0.00        0.00        0.00        0.00        0.00
   39    1.0000    -10.59       -4.00        0.00     1100.00        0.00     1104.00        0.00        0.00        0.00
----------------------------------------------------------------------------------------------------------------------------- 
 TOTAL:                                                6254.23        0.00     6254.23        0.00       0.00         0.00
============================================================================================================================= 

