CIRCUITS REPORT
=============================================================================================================================================== 
  CIRC    FROM    TO      Pik (MW)  Qik (MVAr)   Sik (MVA)   Pki (MW)  Qki (MVAr)    Ski (MVA)  Cap (MVA)    Loading    Ploss (MW)  Qloss (MVAr)
----------------------------------------------------------------------------------------------------------------------------------------------- 
    1      1      2     -141.16        0.00     -141.16      141.16       0.00       141.16   600.0000       0.2353        0.000        0.000
    2      1     39       43.55        0.00       43.55      -43.55       0.00       -43.55   1000.0000       0.0436       -0.000        0.000
    3      2      3      500.00        0.00      500.00     -500.00       0.00      -500.00   500.0000       1.0000       -0.000        0.000
    4      2     25      258.85        0.00      258.85     -258.85       0.00      -258.85   500.0000       0.5177       -0.000        0.000
    5      2     30     -900.00        0.00     -900.00      900.00       0.00       900.00   900.0000       1.0000        0.000        0.000
    6      3      4       54.73        0.00       54.73      -54.73       0.00       -54.73   500.0000       0.1095        0.000        0.000
    7      3     18      123.27        0.00      123.27     -123.27       0.00      -123.27   500.0000       0.2465        0.000        0.000
    8      4      5     -234.40        0.00     -234.40      234.40       0.00       234.40   600.0000       0.3907        0.000        0.000
    9      4     14     -210.86        0.00     -210.86      210.86       0.00       210.86   500.0000       0.4217        0.000        0.000
   10      5      6     -534.73        0.00     -534.73      534.73       0.00       534.73   1200.0000       0.4456        0.000        0.000
   11      5      8      300.32        0.00      300.32     -300.32       0.00      -300.32   900.0000       0.3337       -0.000        0.000
   12      6      7      422.42        0.00      422.42     -422.42       0.00      -422.42   900.0000       0.4694        0.000        0.000
   13      6     11     -320.35        0.00     -320.35      320.35       0.00       320.35   480.0000       0.6674        0.000        0.000
   14      6     31     -636.80        0.00     -636.80      636.80       0.00       636.80   1800.0000       0.3538        0.000        0.000
   15      7      8      188.62        0.00      188.62     -188.62       0.00      -188.62   900.0000       0.2096        0.000        0.000
   16      8      9      -33.05        0.00      -33.05       33.05       0.00        33.05   900.0000       0.0367        0.000        0.000
   17      9     39      -39.55        0.00      -39.55       39.55       0.00        39.55   900.0000       0.0439        0.000        0.000
   18     10     11      328.02        0.00      328.02     -328.02       0.00      -328.02   600.0000       0.5467       -0.000        0.000
   19     10     13      396.98        0.00      396.98     -396.98       0.00      -396.98   600.0000       0.6616        0.000        0.000
   20     10     32     -725.00        0.00     -725.00      725.00       0.00       725.00   900.0000       0.8056        0.000        0.000
   21     12     11       -7.67        0.00       -7.67        7.67       0.00         7.67   500.0000       0.0153        0.000        0.000
   22     12     13       -0.86        0.00       -0.86        0.86       0.00         0.86   500.0000       0.0017        0.000        0.000
   23     13     14      396.12        0.00      396.12     -396.12       0.00      -396.12   600.0000       0.6602        0.000        0.000
   24     14     15      185.26        0.00      185.26     -185.26       0.00      -185.26   600.0000       0.3088        0.000        0.000
   25     15     16     -134.74        0.00     -134.74      134.74       0.00       134.74   600.0000       0.2246        0.000        0.000
   26     16     17       17.46        0.00       17.46      -17.46       0.00       -17.46   600.0000       0.0291        0.000        0.000
   27     16     19      -44.30        0.00      -44.30       44.30       0.00        44.30   600.0000       0.0738        0.000        0.000
   28     16     21     -369.22        0.00     -369.22      369.22       0.00       369.22   600.0000       0.6154       -0.000        0.000
   29     16     24      -67.68        0.00      -67.68       67.68       0.00        67.68   600.0000       0.1128        0.000        0.000
   30     17     18       34.73        0.00       34.73      -34.73       0.00       -34.73   600.0000       0.0579       -0.000        0.000
   31     17     27      -17.27        0.00      -17.27       17.27       0.00        17.27   600.0000       0.0288        0.000        0.000
   32     19     20      172.00        0.00      172.00     -172.00       0.00      -172.00   900.0000       0.1911        0.000        0.000
   33     19     33     -216.30        0.00     -216.30      216.30       0.00       216.30   900.0000       0.2403       -0.000        0.000
   34     20     34     -508.00        0.00     -508.00      508.00       0.00       508.00   900.0000       0.5644        0.000        0.000
   35     21     22     -643.22        0.00     -643.22      643.22       0.00       643.22   900.0000       0.7147        0.000        0.000
   36     22     23       43.78        0.00       43.78      -43.78       0.00       -43.78   600.0000       0.0730        0.000        0.000
   37     22     35     -687.00        0.00     -687.00      687.00       0.00       687.00   900.0000       0.7633        0.000        0.000
   38     23     24      376.28        0.00      376.28     -376.28       0.00      -376.28   600.0000       0.6271        0.000        0.000
   39     23     36     -580.00        0.00     -580.00      580.00       0.00       580.00   900.0000       0.6444        0.000        0.000
   40     25     26       61.77        0.00       61.77      -61.77       0.00       -61.77   600.0000       0.1030        0.000        0.000
   41     25     37      -26.93        0.00      -26.93       26.93       0.00        26.93   900.0000       0.0299       -0.000        0.000
   42     26     27      298.27        0.00      298.27     -298.27       0.00      -298.27   600.0000       0.4971        0.000        0.000
   43     26     28     -162.87        0.00     -162.87      162.87       0.00       162.87   600.0000       0.2714        0.000        0.000
   44     26     29     -212.63        0.00     -212.63      212.63       0.00       212.63   600.0000       0.3544        0.000        0.000
   45     28     29     -368.87        0.00     -368.87      368.87       0.00       368.87   600.0000       0.6148        0.000        0.000
   46     29     38     -865.00        0.00     -865.00      865.00       0.00       865.00   1200.0000       0.7208       -0.000        0.000
----------------------------------------------------------------------------------------------------------------------------------------------- 
 TOTAL:                                                                                                                     0.000        0.000
=============================================================================================================================================== 
